OBJECTID,Geocoded_Address
172,"2851 Country Club Dr Escondido California, 92029"
173,"2402 Choya Canyon Rd Escondido California, 92025"
174,"853 Brotherton Rd Escondido California, 92025"
175,"516 Eldorado Dr Escondido California, 92025"
176,"549 E 17th Ave Escondido California, 92025"
178,"925 S Andreasen Dr Escondido California, 92029"
179,"631 S Andreasen Dr Escondido California, 92029"
180,"216 S Escondido Blvd Escondido California, 92025"
181,"1159 W Mission Ave Escondido California, 92025"
182,"459 E Pennsylvania Ave Escondido California, 92025"
183,"500 W Mission Ave Escondido California, 92025"
184,"707 Center Dr San Marcos California, 92069"
185,"2007 E Mission Ave Escondido California, 92027"
187,"176 W Borden Rd San Marcos California, 92069"
188,"2755 S Santa Fe Ave San Marcos California, 92069"
189,"2502 El Camino Real Carlsbad California, 92008"
190,"139 Hannalei Dr Vista California, 92083"
191,"3709 Buena Creek Rd Vista California, 92084"
193,"1944 California St Oceanside California, 92054"
194,"856 Mission Ave Oceanside California, 92054"
195,"1883 Avenida del Oro Oceanside California, 92056"
196,"3809 San Ramon Dr Oceanside California, 92057"
197,"I-5 N Camp Pendleton California, 92055"
198,"1665 San Luis Rey Ave Vista California, 92084"
199,"3857 Mission Ave Oceanside California, 92058"
201,"2174 Bautista Ave Vista California, 92084"
202,"4673 Calle Joven Oceanside California, 92057"
203,"398 Festival Dr Oceanside California, 92057"
205,"5161 Mendip St Oceanside California, 92057"
207,"1753 Victoria Way San Marcos California, 92069"
208,"25371 Lake Wohlford Rd Escondido California, 92027"
209,"25772 Jesmond Dene Rd Escondido California, 92026"
211,"561 Deer Springs Rd San Marcos California, 92069"
212,"30302 Circle R Ln Valley Center California, 92082"
213,"33733 Valley Center Rd Valley Center California, 92082"
214,"30645 Rolling Hills Rd Valley Center California, 92082"
215,"W Lilac Rd Escondido California, 92026"
218,"1051 Ollie Ave Calexico California, 92231"
219,"1451 Carr Rd Calexico California, 92231"
221,"Los Pinos Lkot Campo California, 91906"
222,"1165 Rockwood Rd Heber California, 92249"
223,"589 Pine Rd Holtville California, 92250"
224,"2147 Arnold Way Alpine California, 91901"
225,"Monument Peak Rd Mount Laguna California, 91948"
228,"507 E Main St Brawley California, 92227"
229,"34798 Arrapahoe Pl Julian California, 92036"
233,"Ted Kipf Rd Niland California, 92257"
235,"223 Palm Canyon Dr Borrego Springs California, 92004"
239,"617 E 10th St Douglas Arizona, 85607"
241,"S Buffalo Soldier Trl Sierra Vista Arizona, 85635"
242,"250 S Ocotillo St Benson Arizona, 85602"
244,"2699 N Johnson Rd Dragoon Arizona, 85609"
246,"Nevada Ave Bradley California, 93426"
247,"67985 Jolon Rd Lockwood California, 93932"
251,"47275 CA-1 Big Sur California, 93920"
257,"69 Asoleado Dr Carmel Valley California, 93924"
259,"645 San Pedro Way Soledad California, 93960"
260,"389 Corona Rd Carmel California, 93923"
261,"201 Laureles Grade Rd Carmel Valley California, 93924"
263,"32849 Airline Hwy Paicines California, 95043"
265,"792 Carmel Valley Rd Carmel California, 93923"
266,"1503 Cypress Dr Pebble Beach California, 93953"
267,"992 Monterey Salinas Hwy Salinas California, 93908"
268,"  Monterey CA, 93940"
269,"1254 Founders Ln Pebble Beach California, 93953"
271,"100 Del Monte Ctr Monterey California, 93940"
272,"2558 Garden Rd Monterey California, 93940"
273,"116 Don Dahvee Ln Monterey California, 93940"
274,"653 Monterey Rd Salinas California, 93908"
275,"401 Glenwood Cir Monterey California, 93940"
276,"2957 Colton Rd Pebble Beach California, 93953"
277,"571 Charles Ave Seaside California, 93955"
278,"1348 Skyview Dr Seaside California, 93955"
279,"1089 Broadway Ave Seaside California, 93955"
280,"1 Sylvan Park Sand City California, 93955"
282,"660 Lighthouse Ave Pacific Grove California, 93950"
284,"1136 Padre Dr Salinas California, 93901"
286,"498 W Alisal St Salinas California, 93901"
287,"De Forest Rd Marina California, 93933"
288,"327 Reservation Rd Marina California, 93933"
289,"Veteran's Way Salinas California, 93905"
290,"3298 Seaside Ct Marina California, 93933"
291,"513 Rochex Ave Salinas California, 93906"
292,"1538 Marin Ave Salinas California, 93906"
293,"1548 McKinnon St Salinas California, 93906"
294,"1388 Castroville Rd Salinas California, 93907"
296,"43 Russell Rd Salinas California, 93906"
300,"347 Dolan Rd Moss Landing California, 95039"
301,"2621 El Camino Real N Salinas California, 93907"
304,"22956 Avenue 7 1/2 Madera California, 93637"
305,"2309 San Juan Hwy San Juan Bautista California, 95045"
306,"1516 San Juan Rd Watsonville California, 95076"
308,"241 Stanford St Watsonville California, 95076"
309,"11 Penny Ln Watsonville California, 95076"
310,"1474 Freedom Blvd Watsonville California, 95076"
311,"165 Ingalls St Santa Cruz California, 95060"
312,"4269 Diamond St Capitola California, 95010"
313,"101 Cliff Ave Capitola California, 95010"
314,"386 Ocean St Santa Cruz California, 95060"
315,"503 Trout Gulch Rd Aptos California, 95003"
316,"856 Bay Ave Capitola California, 95010"
317,"714 River St Santa Cruz California, 95060"
318,"Perimeter Rd Aptos California, 95003"
319,"476 Heller Dr Santa Cruz California, 95064"
320,"Meyer Dr Santa Cruz California, 95064"
321,"17814 Road 33 Madera California, 93636"
322,"4619 Scotts Valley Dr Scotts Valley California, 95066"
323,"143 Santa's Village Rd Scotts Valley California, 95066"
325,"487 Spanish Oaks Los Gatos California, 95033"
327,"Doppler Rd Merced California, 95341"
331,"1015 Fremont Ave Los Altos California, 94024"
332,"22438 Diericx Ct Mountain View California, 94040"
333,"111 Fremont Ave Los Altos California, 94022"
334,"811 Cuesta Dr Mountain View California, 94040"
335,"184 E El Camino Real Mountain View California, 94040"
336,"1421 S Springer Rd Los Altos California, 94040"
337,"368 N Bernardo Ave Mountain View California, 94043"
338,"479 N Bernardo Ave Mountain View California, 94043"
339,"572 N Bernardo Ave Mountain View California, 94043"
340,"685 Ravendale Dr Mountain View California, 94043"
341,"327 Hope St Mountain View California, 94041"
342,"481 Costa Mesa Ter Sunnyvale California, 94085"
343,"100 View St Mountain View California, 94041"
345,"886 Arastradero Rd Palo Alto California, 94306"
347,"2419 Latham St Mountain View California, 94040"
348,"531 Stierlin Rd Mountain View California, 94043"
349,"3349 Coyote Hill Rd Palo Alto California, 94304"
350,"3159 Hanover St Palo Alto California, 94304"
351,"3068 Hanover St Palo Alto California, 94304"
352,"3037 Hansen Way Palo Alto California, 94304"
354,"1393 Charleston Rd Mountain View California, 94043"
355,"1865 Landings Dr Mountain View California, 94043"
356,"1165 S California Ave Palo Alto California, 94304"
357,"1201 Charleston Rd Mountain View California, 94043"
358,"1553 Charleston Rd Mountain View California, 94043"
359,"45 Palo Alto Sq Palo Alto California, 94306"
360,"618 Page Mill Rd Palo Alto California, 94304"
361,"1944 Charleston Rd Mountain View California, 94043"
362,"631 S California Ave Palo Alto California, 94304"
363,"1504 Salado Dr Mountain View California, 94043"
364,"1430 Crittenden Ln Mountain View California, 94043"
365,"North Rd Mountain View California, 94043"
366,"4728 CA-49 Mariposa California, 95338"
367,"Jackson/ Big Sandy Rd Fish Camp California, 93623"
369,"181 N Mitchell Rd Turlock California, 95380"
370,"Mariposa Grove Rd Yosemite National Park California, 95389"
371,"3601 Crowell Rd Turlock California, 95380"
372,"5067 N Montpellier Rd Denair California, 95316"
374,"3332 S Carpenter Rd Modesto California, 95358"
375,"5493 River Rd Vernalis California, 95385"
377,"944 Paradise Rd Modesto California, 95351"
378,"642 D St Modesto California, 95354"
379,"398 S Appling Rd Hickman California, 95323"
380,"863 5th St Modesto California, 95351"
382,"530 Locust St Modesto California, 95351"
383,"341 Tully Rd Modesto California, 95350"
384,"149 W Roseburg Ave Modesto California, 95350"
385,"1899 Brink Ave Modesto California, 95358"
386,"CA-140 El Portal California, 95318"
388,"3105 McHenry Ave Modesto California, 95350"
389,"568 Vintage Faire Mall Modesto California, 95356"
391,"3499 Northumberland Dr Modesto California, 95350"
395,"4874 Tully Rd Modesto California, 95356"
400,"5593 Bentley Rd Oakdale California, 95361"
401,"2224 W Schulte Rd Tracy California, 95377"
402,"25376 Mountain House Pkwy Tracy California, 95377"
404,"25109 W Schulte Rd Tracy California, 95377"
405,"25188 W Schulte Rd Tracy California, 95377"
406,"6022 American Ave Modesto California, 95356"
407,"Glacier Point Utility Rd Yosemite National Park California, 95389"
409,"5168 W Lovely Rd Tracy California, 95304"
410,"3028 Kittery Ave San Ramon California, 94583"
411,"439 N Acacia Ave Ripon California, 95366"
412,"Village Dr Yosemite National Park California, 95389"
413,"I-205 W Tracy California, 95377"
415,"12111 Alcosta Blvd San Ramon California, 94583"
416,"Crane Flat Fire Lkot Long Barn California, 95335"
418,"7563 E Pescadero Ave Tracy California, 95304"
419,"2622 Bishop Dr San Ramon California, 94583"
420,"West Valley Mall Tracy California, 95304"
422,"172 California Ave Oakdale California, 95361"
423,"2665 Camino Ramon San Ramon California, 94583"
424,"95 Creekside Dr San Ramon California, 94583"
425,"2326 Camino Ramon San Ramon California, 94583"
426,"12941 Alcosta Blvd San Ramon California, 94583"
427,"1547 Lawrence Rd Danville California, 94506"
428,"1042 Milo Candini Dr Manteca California, 95337"
429,"18670 S Austin Rd Manteca California, 95336"
430,"18657 S Austin Rd Manteca California, 95336"
431,"524 Knollwood Ct Danville California, 94506"
432,"398 Sun Haven Pl Manteca California, 95337"
434,"Lakeshore Dr Moccasin California, 95347"
435,"39 Carr Ranch Rd Moraga California, 94556"
436,"119 Haven Hill Ct Danville California, 94526"
438,"5345 Blackhawk Dr Danville California, 94506"
439,"5 Leeds Ct E Danville California, 94526"
440,"399 Barton Ct Danville California, 94526"
443,"1413 Lathrop Rd Lathrop California, 95330"
444,"52 Merrill Cir N Moraga California, 94556"
446,"Sommerville Rd Sausalito California, 94965"
447,"US-101 S Sausalito California, 94965"
449,"2646 Stone Valley Rd Alamo California, 94507"
450,"67 Donald Dr Orinda California, 94563"
451,"1377 Camino Diablo Brentwood California, 94513"
452,"597 Florence Dr Lafayette California, 94549"
453,"3860 Main St Byron California, 94514"
454,"13685 Red Hills Rd Chinese Camp California, 95309"
456,"1623 Juanita Ln Tiburon California, 94920"
457,"401 Sherwood Dr Sausalito California, 94965"
458,"383 Poplar Ave Mill Valley California, 94941"
459,"Grizzly Peak Blvd Oakland California, 94720"
460,"178 Neds Way Tiburon California, 94920"
461,"2474 San Miguel Dr Walnut Creek California, 94596"
462,"8967 Tracy Blvd Stockton California, 95206"
464,"255 Lafayette Cir Lafayette California, 94549"
465,"99 Green Ln Mill Valley California, 94941"
466,"16335 CA-4 Stockton California, 95206"
467,"3643 Mt Diablo Blvd Lafayette California, 94549"
468,"7088 S Longe St Stockton California, 95206"
469,"12195 Marsh Creek Rd Clayton California, 94517"
470,"4996 S Airport Way Stockton California, 95206"
471,"45 Calle del Mar Stinson Beach California, 94970"
472,"7238 Fairmount Ave El Cerrito California, 94530"
473,"1765 Oakland Blvd Walnut Creek California, 94596"
474,"2599 Rydin Rd Richmond California, 94850"
475,"318 E Blithedale Ave Mill Valley California, 94941"
476,"1955 N Broadway Walnut Creek California, 94596"
477,"614 Ashbury Ave El Cerrito California, 94530"
478,"2078 San Mateo St Richmond California, 94804"
479,"832 Ygnacio Valley Rd Walnut Creek California, 94596"
480,"790 Kearney St El Cerrito California, 94530"
481,"4701 Frontier Way Stockton California, 95215"
482,"Old San Pablo Dam Rd El Sobrante California, 94803"
483,"1520 Parkside Dr Walnut Creek California, 94596"
484,"5095 Cort Ave Richmond California, 94804"
485,"4180 Happy Valley Rd Orinda California, 94549"
486,"1585 Ygnacio Valley Rd Walnut Creek California, 94598"
487,"2 Highland Blvd Berkeley California, 94708"
488,"7074 Portola Dr El Cerrito California, 94530"
489,"1515 San Luis Rd Walnut Creek California, 94597"
490,"8723 Terrace Dr El Cerrito California, 94530"
492,"1291 St Edmunds Way Brentwood California, 94513"
493,"5074 Potrero Ave Richmond California, 94804"
494,"2349 Carpenter Rd Stockton California, 95206"
495,"7114 Gladys Ave El Cerrito California, 94530"
496,"299 Via Monte Walnut Creek California, 94598"
497,"5284 S Escalon Bellota Rd Stockton California, 95230"
498,"1481 Lesnick Ln Walnut Creek California, 94596"
499,"610 S 13th St Richmond California, 94804"
500,"555 S 45th St Richmond California, 94804"
501,"205 Lennon Ln Walnut Creek California, 94598"
502,"2661 S California St Stockton California, 95206"
503,"5886 Paradise Dr Corte Madera California, 94925"
504,"8105 Marsh Creek Rd Clayton California, 94517"
505,"7325 San Pablo Dam Rd El Sobrante California, 94803"
506,"298 Water St Richmond California, 94801"
507,"2039 Virginia Ave Richmond California, 94804"
508,"1332 Treat Blvd Walnut Creek California, 94597"
509,"5160 Wall Ave Richmond California, 94805"
510,"349 S 12th St Richmond California, 94804"
511,"1598 Madera Cir El Cerrito California, 94530"
512,"2374 Welcome Ave Richmond California, 94804"
514,"231 S 41st St Richmond California, 94804"
515,"187 S 1st St Richmond California, 94804"
516,"498 W Ohio Ave Richmond California, 94804"
517,"1240 Las Juntas Way Walnut Creek California, 94597"
518,"79 6th St Richmond California, 94801"
520,"157 8th St Richmond California, 94801"
521,"1124 Winton Dr Concord California, 94518"
522,"201 35th St Richmond California, 94805"
523,"165 12th St Richmond California, 94801"
524,"4041 Walnut Blvd Brentwood California, 94513"
525,"3230 Buskirk Ave Pleasant Hill California, 94523"
526,"1612 S El Dorado St Stockton California, 95206"
527,"585 37th St Richmond California, 94805"
528,"655 42nd St Richmond California, 94805"
529,"6401 Hazel Ave Richmond California, 94805"
530,"809 Alberta Way Concord California, 94521"
531,"749 5th St Richmond California, 94801"
532,"708 Humboldt St Richmond California, 94805"
535,"2313 Kerner Blvd San Rafael California, 94901"
537,"199 Brandon Rd Pleasant Hill California, 94523"
538,"1660 Coalinga Ave Richmond California, 94801"
539,"1847 Francisco Blvd E San Rafael California, 94901"
540,"905 Sonoma St Richmond California, 94805"
542,"1198 28th St Richmond California, 94804"
543,"1246 23rd St San Pablo California, 94804"
544,"1290 Amador St San Pablo California, 94806"
545,"1299 18th St San Pablo California, 94806"
546,"2414 San Pablo Dam Rd San Pablo California, 94806"
547,"766 S Windsor Ave Stockton California, 95205"
548,"1882 S Hewitt Rd Linden California, 95236"
551,"667 W Lindsay St Stockton California, 95203"
553,"664 Goodhill Rd Greenbrae California, 94904"
554,"60 N Wilson Way Stockton California, 95205"
555,"5851 Olinda Rd El Sobrante California, 94803"
557,"5170 La Corte Bonita Concord California, 94521"
558,"2026 Dover Ave San Pablo California, 94806"
560,"2256 E Weber Ave Stockton California, 95205"
561,"4770 Clayton Rd Concord California, 94521"
562,"1481 E Lindsay St Stockton California, 95205"
563,"598 Davilla Rd Richmond California, 94801"
564,"5761 Lone Tree Way Antioch California, 94531"
565,"978 Santa Lucia Dr Pleasant Hill California, 94523"
566,"41 Sir Francis Drake Blvd Ross California, 94957"
567,"Richmond Pkwy Richmond California, 94801"
568,"2238 Country Club Blvd Stockton California, 95204"
569,"2603 May Rd Richmond California, 94803"
570,"4874 Deer Valley Rd Antioch California, 94531"
571,"4439 Lone Tree Way Antioch California, 94531"
572,"2677 Barnard St Richmond California, 94806"
573,"5042 Valley View Rd Richmond California, 94803"
574,"2638 Moraga Rd San Pablo California, 94806"
575,"1001 Neroly Rd Oakley California, 94513"
576,"38 Union St San Rafael California, 94901"
577,"2701 11th St San Pablo California, 94806"
579,"3444 Maywood Dr Richmond California, 94803"
580,"724 4th St San Rafael California, 94901"
581,"12 Summit Ave San Rafael California, 94901"
582,"233 Camelback Rd Pleasant Hill California, 94523"
583,"2998 15th St San Pablo California, 94806"
584,"696 Point San Pedro Rd San Rafael California, 94901"
585,"4390 Valley View Rd Richmond California, 94803"
586,"4101 Hilltop Dr Richmond California, 94803"
587,"4575 Hilltop Dr Richmond California, 94803"
588,"1791 Cherokee Rd Stockton California, 95205"
589,"1471 Hilltop Mall Rd Richmond California, 94806"
590,"525 Appian Way El Sobrante California, 94803"
592,"187 Palm Ave San Rafael California, 94901"
594,"3533 Pinole Valley Rd Pinole California, 94564"
595,"826 Morton Ave Richmond California, 94806"
596,"3799 Chesapeake Ct Antioch California, 94509"
597,"3961 Banbury Way Antioch California, 94531"
598,"3847 Killdeer Dr Antioch California, 94509"
599,"2756 W March Ln Stockton California, 95219"
600,"3901 E Budweiser Ct Stockton California, 95215"
602,"999 Loma Linda Ave El Sobrante California, 94803"
603,"1827 Lincoln Ave San Rafael California, 94901"
604,"3456 Deer Valley Rd Antioch California, 94531"
606,"3952 Hidden Grove Ln Concord California, 94519"
607,"2010 Hoke Dr Pinole California, 94564"
608,"3006 Pinole Valley Rd Pinole California, 94564"
609,"4398 Hillview Dr Pittsburg California, 94565"
611,"1443 Fitzgerald Dr Pinole California, 94564"
612,"1384 Arnold Dr Martinez California, 94553"
613,"2458 Refugio Valley Rd Hercules California, 94547"
615,"2300 Dolan Way San Pablo California, 94806"
616,"2473 Dolan Way San Pablo California, 94806"
617,"264 Christine Dr San Pablo California, 94806"
619,"2738 W Tregallas Rd Antioch California, 94509"
620,"1579 Mann Dr Pinole California, 94564"
621,"3326 Main St Oakley California, 94561"
622,"2020 Refugio Valley Rd Hercules California, 94547"
623,"5370 Pacific Ave Stockton California, 95207"
624,"2822 Atlas Rd Richmond California, 94806"
625,"681 Marlesta Rd Pinole California, 94564"
626,"1208 Pinole Valley Rd Pinole California, 94564"
627,"2043 Porter Way Stockton California, 95207"
628,"2010 Southwood Dr San Pablo California, 94806"
629,"1004 Bailey Rd Pittsburg California, 94565"
630,"168 El Dorado Dr Pittsburg California, 94565"
632,"730 San Pablo Ave Pinole California, 94564"
633,"1296 E Leland Rd Pittsburg California, 94565"
634,"1937 Lupine Rd Hercules California, 94547"
635,"1662 Pheasant Dr Hercules California, 94547"
638,"I-680 S Martinez California, 94553"
641,"6751 Tam O Shanter Dr Stockton California, 95210"
642,"512 Bliss Ave Pittsburg California, 94565"
643,"  Pittsburg  , 94565"
644,"3054 Ranch Ln Bethel Island California, 94511"
645,"1381 Pine St Martinez California, 94553"
646,"20A Pittsburg California, 94565"
648,"1771 Caleb Cir Stockton California, 95210"
650,"Vine Hill Dr Martinez California, 94553"
651,"5089 Commercial Cir Concord California, 94520"
652,"I-680 S Martinez California, 94553"
655,"5145 Alfred Nobel Dr Hercules California, 94547"
656,"1080 Alfred Nobel Dr Hercules California, 94547"
657,"2316 Alfred Nobel Dr Hercules California, 94547"
658,"398 James Watson Dr Hercules California, 94547"
661,"1045 Weldon Ln Pittsburg California, 94565"
663,"837 Railroad Ave Pittsburg California, 94565"
665,"8263 N Ashley Ln Stockton California, 95212"
666,"17027 Flint St Farmington California, 95230"
667,"9220 Thornton Rd Stockton California, 95209"
668,"815 Port Chicago Hwy Pittsburg California, 94565"
669,"400 San Pablo Ave Rodeo California, 94572"
673,"300 B St Crockett California, 94525"
676,"159 San Jose Dr Novato California, 94949"
678,"100 Rankin Way Benicia California, 94510"
679,"3048 Bay Vista Ct Benicia California, 94510"
680,"803 Southampton Rd Benicia California, 94510"
681,"1110 S Main St Angels Camp California, 95222"
682,"635 Stone Rd Benicia California, 94510"
683,"345 Industrial Way Benicia California, 94510"
684,"548 Getty Ct Benicia California, 94510"
685,"103 W Channel Rd Benicia California, 94510"
686,"2056 Columbus Pkwy Benicia California, 94510"
687,"993 Rose Dr Benicia California, 94510"
688,"5285 Gateway Plaza Dr Benicia California, 94510"
689,"11881 N Lower Sacramento Rd Lodi California, 95242"
690,"Long Barn Sugar Pine Rd Mi-Wuk Village California, 95346"
691,"6132 Egret Ct Benicia California, 94510"
692,"171 Woodrow Ave Vallejo California, 94591"
693,"174 Corporate Pl Vallejo California, 94590"
694,"98 Fleet Ct Vallejo California, 94591"
695,"814 Rosewood Ave Vallejo California, 94591"
696,"2550 Maggio Cir Lodi California, 95240"
697,"12928 Sir Francis Drake Blvd Inverness California, 94937"
698,"311 Vallecito Bluffs Rd Murphys California, 95247"
699,"1399 Colusa St Vallejo California, 94590"
700,"783 Azuar Ave Vallejo California, 94592"
702,"2145 W Kettleman Ln Lodi California, 95242"
705,"799 San Marin Dr Novato California, 94945"
706,"1600 Tuolumne St Vallejo California, 94589"
707,"6099 Loire Ct Vallejo California, 94591"
708,"3000 Sunny Cove Ct Vallejo California, 94591"
709,"2398 Goodyear Rd Benicia California, 94510"
710,"747 S Fairmont Ave Lodi California, 95240"
